
For documentation, see idn-chars.html

#*** Script: LATIN ***

# Atomic
01BD          ; LATIN ; Atomic # L& (ƽ) LATIN SMALL LETTER TONE FIVE
0185          ; LATIN ; Atomic # L& (ƅ) LATIN SMALL LETTER TONE SIX
0294          ; LATIN ; Atomic # L& (ʔ) LATIN LETTER GLOTTAL STOP

# Total code points: 80

# Atomic-no-uppercase
0250          ; LATIN ; Atomic-no-uppercase # L& (ɐ) LATIN SMALL LETTER TURNED A
0251          ; LATIN ; Atomic-no-uppercase # L& (ɑ) LATIN SMALL LETTER ALPHA
0252          ; LATIN ; Atomic-no-uppercase # L& (ɒ) LATIN SMALL LETTER TURNED ALPHA
0299          ; LATIN ; Atomic-no-uppercase # L& (ʙ) LATIN LETTER SMALL CAPITAL B
0180          ; LATIN ; Atomic-no-uppercase # L& (ƀ) LATIN SMALL LETTER B WITH STROKE
0255          ; LATIN ; Atomic-no-uppercase # L& (ɕ) LATIN SMALL LETTER C WITH CURL
02A3          ; LATIN ; Atomic-no-uppercase # L& (ʣ) LATIN SMALL LETTER DZ DIGRAPH
02A5          ; LATIN ; Atomic-no-uppercase # L& (ʥ) LATIN SMALL LETTER DZ DIGRAPH WITH CURL
02A4          ; LATIN ; Atomic-no-uppercase # L& (ʤ) LATIN SMALL LETTER DEZH DIGRAPH
0258          ; LATIN ; Atomic-no-uppercase # L& (ɘ) LATIN SMALL LETTER REVERSED E
025A          ; LATIN ; Atomic-no-uppercase # L& (ɚ) LATIN SMALL LETTER SCHWA WITH HOOK
025C          ; LATIN ; Atomic-no-uppercase # L& (ɜ) LATIN SMALL LETTER REVERSED OPEN E
025D          ; LATIN ; Atomic-no-uppercase # L& (ɝ) LATIN SMALL LETTER REVERSED OPEN E WITH HOOK
025E          ; LATIN ; Atomic-no-uppercase # L& (ɞ) LATIN SMALL LETTER CLOSED REVERSED OPEN E
029A          ; LATIN ; Atomic-no-uppercase # L& (ʚ) LATIN SMALL LETTER CLOSED OPEN E
0264          ; LATIN ; Atomic-no-uppercase # L& (ɤ) LATIN SMALL LETTER RAMS HORN
02A9          ; LATIN ; Atomic-no-uppercase # L& (ʩ) LATIN SMALL LETTER FENG DIGRAPH
0261          ; LATIN ; Atomic-no-uppercase # L& (ɡ) LATIN SMALL LETTER SCRIPT G
0262          ; LATIN ; Atomic-no-uppercase # L& (ɢ) LATIN LETTER SMALL CAPITAL G
029B          ; LATIN ; Atomic-no-uppercase # L& (ʛ) LATIN LETTER SMALL CAPITAL G WITH HOOK
029C          ; LATIN ; Atomic-no-uppercase # L& (ʜ) LATIN LETTER SMALL CAPITAL H
0266          ; LATIN ; Atomic-no-uppercase # L& (ɦ) LATIN SMALL LETTER H WITH HOOK
0267          ; LATIN ; Atomic-no-uppercase # L& (ɧ) LATIN SMALL LETTER HENG WITH HOOK
026A          ; LATIN ; Atomic-no-uppercase # L& (ɪ) LATIN LETTER SMALL CAPITAL I
029D          ; LATIN ; Atomic-no-uppercase # L& (ʝ) LATIN SMALL LETTER J WITH CROSSED-TAIL
025F          ; LATIN ; Atomic-no-uppercase # L& (ɟ) LATIN SMALL LETTER DOTLESS J WITH STROKE
0284          ; LATIN ; Atomic-no-uppercase # L& (ʄ) LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK
029E          ; LATIN ; Atomic-no-uppercase # L& (ʞ) LATIN SMALL LETTER TURNED K
02AA          ; LATIN ; Atomic-no-uppercase # L& (ʪ) LATIN SMALL LETTER LS DIGRAPH
02AB          ; LATIN ; Atomic-no-uppercase # L& (ʫ) LATIN SMALL LETTER LZ DIGRAPH
029F          ; LATIN ; Atomic-no-uppercase # L& (ʟ) LATIN LETTER SMALL CAPITAL L
026B          ; LATIN ; Atomic-no-uppercase # L& (ɫ) LATIN SMALL LETTER L WITH MIDDLE TILDE
026C          ; LATIN ; Atomic-no-uppercase # L& (ɬ) LATIN SMALL LETTER L WITH BELT
026D          ; LATIN ; Atomic-no-uppercase # L& (ɭ) LATIN SMALL LETTER L WITH RETROFLEX HOOK
026E          ; LATIN ; Atomic-no-uppercase # L& (ɮ) LATIN SMALL LETTER LEZH
019B          ; LATIN ; Atomic-no-uppercase # L& (ƛ) LATIN SMALL LETTER LAMBDA WITH STROKE
028E          ; LATIN ; Atomic-no-uppercase # L& (ʎ) LATIN SMALL LETTER TURNED Y
0271          ; LATIN ; Atomic-no-uppercase # L& (ɱ) LATIN SMALL LETTER M WITH HOOK
0274          ; LATIN ; Atomic-no-uppercase # L& (ɴ) LATIN LETTER SMALL CAPITAL N
0273          ; LATIN ; Atomic-no-uppercase # L& (ɳ) LATIN SMALL LETTER N WITH RETROFLEX HOOK
0276          ; LATIN ; Atomic-no-uppercase # L& (ɶ) LATIN LETTER SMALL CAPITAL OE
0277          ; LATIN ; Atomic-no-uppercase # L& (ɷ) LATIN SMALL LETTER CLOSED OMEGA
0278          ; LATIN ; Atomic-no-uppercase # L& (ɸ) LATIN SMALL LETTER PHI
02A0          ; LATIN ; Atomic-no-uppercase # L& (ʠ) LATIN SMALL LETTER Q WITH HOOK
0138          ; LATIN ; Atomic-no-uppercase # L& (ĸ) LATIN SMALL LETTER KRA
0279          ; LATIN ; Atomic-no-uppercase # L& (ɹ) LATIN SMALL LETTER TURNED R
027A          ; LATIN ; Atomic-no-uppercase # L& (ɺ) LATIN SMALL LETTER TURNED R WITH LONG LEG
027B          ; LATIN ; Atomic-no-uppercase # L& (ɻ) LATIN SMALL LETTER TURNED R WITH HOOK
027C          ; LATIN ; Atomic-no-uppercase # L& (ɼ) LATIN SMALL LETTER R WITH LONG LEG
027D          ; LATIN ; Atomic-no-uppercase # L& (ɽ) LATIN SMALL LETTER R WITH TAIL
027E          ; LATIN ; Atomic-no-uppercase # L& (ɾ) LATIN SMALL LETTER R WITH FISHHOOK
027F          ; LATIN ; Atomic-no-uppercase # L& (ɿ) LATIN SMALL LETTER REVERSED R WITH FISHHOOK
0281          ; LATIN ; Atomic-no-uppercase # L& (ʁ) LATIN LETTER SMALL CAPITAL INVERTED R
0282          ; LATIN ; Atomic-no-uppercase # L& (ʂ) LATIN SMALL LETTER S WITH HOOK
01AA          ; LATIN ; Atomic-no-uppercase # L& (ƪ) LATIN LETTER REVERSED ESH LOOP
0285          ; LATIN ; Atomic-no-uppercase # L& (ʅ) LATIN SMALL LETTER SQUAT REVERSED ESH
0286          ; LATIN ; Atomic-no-uppercase # L& (ʆ) LATIN SMALL LETTER ESH WITH CURL
02A8          ; LATIN ; Atomic-no-uppercase # L& (ʨ) LATIN SMALL LETTER TC DIGRAPH WITH CURL
01BE          ; LATIN ; Atomic-no-uppercase # L& (ƾ) LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE
02A6          ; LATIN ; Atomic-no-uppercase # L& (ʦ) LATIN SMALL LETTER TS DIGRAPH
02A7          ; LATIN ; Atomic-no-uppercase # L& (ʧ) LATIN SMALL LETTER TESH DIGRAPH
01AB          ; LATIN ; Atomic-no-uppercase # L& (ƫ) LATIN SMALL LETTER T WITH PALATAL HOOK
0287          ; LATIN ; Atomic-no-uppercase # L& (ʇ) LATIN SMALL LETTER TURNED T
0289          ; LATIN ; Atomic-no-uppercase # L& (ʉ) LATIN SMALL LETTER U BAR
0265          ; LATIN ; Atomic-no-uppercase # L& (ɥ) LATIN SMALL LETTER TURNED H
0270          ; LATIN ; Atomic-no-uppercase # L& (ɰ) LATIN SMALL LETTER TURNED M WITH LONG LEG
